found_folder,file_name,chainid,lastupdatedate,subchainid,storeid,bikoretno,storetype,chainname,subchainname,storename,address,city,zipcode
,,,,7,327,,,,שופרסל אקספרס,אקספרס חיפה- ראול ולנברג,ראול וולנברג 9,חיפה,3499009
,,,,,335,,,,,"אקספרס כ""ס- בן גוריון",בן גוריון 35,כפר סבא,
,,,,2,344,,,,שופרסל דיל,דיל מעלות- דרך האלוף עוז,קניון כוכב הצפון,מעלות,21020
,,,,,350,,,,,דיל גבעת אולגה-הרב ניסים,שד' ברוך בוארון1,גבעת אולגה,
,,,,1,365,,,,שופרסל שלי,שלי פרדס חנה כרכור- קדמה,דרך הקידמה צמרת,כרכור,3707307
,,,,7,376,,,,שופרסל אקספרס,אקספרס רעננה- משה דיין,משה דיין 8,רעננה,
,,,,,400,,,,,אקספרס שבזי ראש העין,שלמה שבזי 172,ראש העין,
,,,,2,413,,2,,שופרסל דיל,שופרסל ONLINE,WWW.SHUFERSAL.CO.IL,,
,,,,7,445,,1,,שופרסל אקספרס,אקספרס רחובות,רח' יעקב 41,רחובות,
,,,,,478,,,,,אקספרס גדרה,דרך האילנות 41,גדרה,
,,,,,479,,,,,אקספרס בר אילן,בר אילן 24,רעננה,
,,,,5,602,,,,Be,BE (פ.י) אשקלון מרינה,מרינה,אשקלון,
,,,,6,606,,,,יש חסד,יש חסד בית שמש- מ. מסחרי,מרכז מסחרי רמהא,בית שמש,99090
,,,,,607,,,,,יש חסד מודיעין עלי-ק.ספר,אבני נזר 46,קרית ספר,
,,,,,608,,,,,יש חסד ירושלים-קרית שאול,נאג'רה 2,ירושלים,
,,,,5,613,,,,Be,BE נהריה,"קניון הצפון , אירית 2",נהריה,
,,,,,614,,,,,BE נתניה,נתניה,נתניה,
,,,,,635,,,,,BE 16 ראש-פינה,ראש-פינה,ראש-פינה,
,,,,,637,,,,,BE רעננה,האחוזה 114,רעננה,
,,,,,641,,,,,BE גבעתיים,גבעתיים,גבעתיים,
,,,,,654,,,,,BE אם המושבות,אם המושבות,פתח תקווה,
,,,,2,209,,,,שופרסל דיל,דיל אשקלון- רוטשילד,אדמונד רוטשילד 8,אשקלון,7822602
,,,,6,219,,,,יש חסד,יש חסד בני ברק- עזרא,עזרה בני ברק,בני ברק,5155103
,,,,7,224,,,,שופרסל אקספרס,"אקספרס ראשל""צ-נווה דקלים",נווה דקלים 44,ראשון לציון,
,,,,1,232,,,,שופרסל שלי,שלי צפת- מ.מסחר רמת רזים,מרכז מסחרי רמת,צפת,1341219
,,,,7,236,,,,שופרסל אקספרס,אקספרס אילת שחמון,ששת הימים 310,אילת,
,,,,5,242,,,,Be,BE ויוה חדרה,מרכז מסחרי ויוה,חדרה,
,,,,2,249,,,,שופרסל דיל,דיל נתניה- פולג,גיבורי ישראל 5,נתניה,4250409
,,,,7,311,,,,שופרסל אקספרס,אקספרס רחובות- בוסתנאי,בוסתנאי 14,רחובות,
,,,,1,333,,,,שופרסל שלי,שלי חיפה- אורן,רח.אורן 25 רוממה,חיפה,3473402
,,,,2,339,,,,שופרסל דיל,דיל טבריה- העמקים,העמקים 1,טבריה,1420401
